ID	脚本	剧情块	事件ID	指令序号	指令	简体中文
1527	gnu	17	00002718	19	12	基纽\n事到如今……无论如何\n也要逃出去！！
1528	gnu	18	00002B00	14	12	基纽\n哈啊、哈啊……\n总、总算甩掉他了……
1529	gnu	18	00002B00	15	12	基纽\n趁、趁现在使用龙珠\n……！！
1530	gnu	18	00002B00	57	12	神龙\n说出你的愿望吧。\n任何愿望，我都可以实现一个。
1531	gnu	18	00002B00	59	12	基纽\n请、请让我的重要伙伴们\n复活！！
1532	gnu	18	00002B00	61	12	神龙\n可以。
1533	gnu	18	00002B00	72	12	\n新增角色\n“神龙”！\n可在角色选择中使用！
1534	gnu	19	00002B6E	4	12	基纽\n哈啊、哈啊……\n我、我竟然打倒了\n那个传说中的超级赛亚人……
1535	gnu	19	00002B6E	8	14	基纽\n呜……呜哦哦哦哦哦！！
1536	gnu	19	00002B6E	10	12	基纽\n我……我竟然……！\n不知不觉获得了宇宙第一的力量！？
1537	gnu	19	00002B6E	11	12	基纽\n原来我是超级天才战士！！
1538	gnu	19	00002B6E	12	12	基纽\n呵呵呵……\n哈哈哈……\n哈——哈哈哈哈哈！
1539	gnu	19	00002B6E	13	12	基纽\n呼……\n高兴归高兴，差点忘了\n一件重要的事。
1540	gnu	19	00002B6E	14	12	基纽\n必须用舞蹈纪念这一刻！
1541	gnu	19	00002B6E	17	12	基纽\n要开始了……
1542	gnu	19	00002B6E	20	12	基纽\n喝！！
1543	gnu	19	00002B6E	38	14	\n…………
1544	gnu	19	00002B6E	42	12	基纽\n嗯……唔……\n总觉得不太对……
1545	gnu	19	00002B6E	45	12	基纽\n呵呵呵……\n我想到一个好主意！！
1546	gnu	19	00002B6E	48	14	基纽\n宇宙最强！！\n天才战士！！
1547	gnu	19	00002B6E	69	12	基纽\n基纽！！
1548	gnu	19	00002B6E	71	14	\n…………
1549	gnu	19	00002B6E	73	12	基纽\n好！太好了！\n要是把这个加入\n胜利之舞！！
1550	gnu	19	00002B6E	79	17	就这样，基纽为了将新的\n战斗姿势加入\n胜利之舞，
1551	gnu	19	00002B6E	80	17	继续不断练习……
1552	gnu	19	00002B6E	102	12	基纽\n嗯？\n总觉得好像忘了什么……
1553	gnu	19	00002B6E	119	12	基纽\n啊！
1554	gnu	20	00002719	11	12	神龙\n那么，愿望已经实现……\n再会……
1555	gnu	20	00002719	20	12	利库姆\n利库姆！
1556	gnu	20	00002719	23	12	巴特\n巴特！
1557	gnu	20	00002719	26	12	吉斯\n吉斯！
1558	gnu	20	00002719	29	12	古尔多\n古尔多！
1559	gnu	20	00002719	32	12	基纽\n你、你们……
1560	gnu	20	00002719	35	12	利库姆\n大家……
1561	gnu	20	00002719	38	12	巴特\n全员到齐！
1562	gnu	20	00002719	41	12	吉斯\n基纽……
1563	gnu	20	00002719	44	12	古尔多\n特战队！
1564	gnu	20	00002719	47	12	基纽\n好——！你们几个，\n这才是最棒的战斗姿势！！
1565	gnu	20	00002719	83	12	基纽\n什！！你、你是……
1566	gnu	20	00002719	86	12	布罗利\n竟敢戏弄我……\n杀了你们……！
1567	gnu	20	00002719	89	12	基纽\n那、那不是本该被\n打飞到宇宙里的\n赛亚人吗！
1568	gnu	20	00002719	90	12	基纽\n对、对不起……\n好不容易让你们复活，\n却又要分别了吗……
1569	gnu	20	00002719	93	12	弗利萨\n哎呀呀，基纽先生。\n这可不像你啊……
1570	gnu	20	00002719	96	12	基纽\n弗、弗、弗利萨大王！？\n您、您平安无事吗！？
1571	gnu	20	00002719	100	12	萨博\n可不只有弗利萨大王……
1572	gnu	20	00002719	103	12	基纽\n萨博，连多多利亚也……\n原、原来如此！因为我许愿\n让伙伴们复活了！！
1573	gnu	20	00002719	106	12	布罗利\n你是……弗利萨！\n正好！\n现在就在这里杀了你！！
1574	gnu	20	00002719	110	12	基纽\n弗利萨大王！\n只要我们集结，\n整个宇宙便无人能敌！
1575	gnu	21	00002B01	10	12	弗利萨\n要上了！\n基纽先生！
1576	gnu	21	00002B01	13	12	基纽\n是！
1577	gnu	21	00002B01	34	12	布罗利\n咕哦哦哦哦哦！
1578	gnu	21	00002B01	37	12	基纽\n接下来……必杀的\n特战队风暴！
1579	gnu	22	00004E20	14	12	基纽\n事到如今，就夺走\n贝吉塔的身体吧……\n互——换！！
1580	gnu	22	00004E20	25	12	悟空\n好机会！\n我能变回原来的自己了！
1581	gnu	22	00004E20	30	12	悟空\n好……好！
1582	gnu	22	00004E20	33	12	基纽\n可恶！\n那就再来一次！！
1583	gnu	22	00004E20	34	12	基纽\n互——……
1584	gnu	22	00004E20	36	12	悟空\n这里怎么会有只青蛙……\n对了，就用它！！
1585	gnu	22	00004E20	37	12	悟空\n和青蛙交换吧——！
1586	gnu	22	00004E20	39	12	基纽\n……换！？
1587	gnu	22	00004E20	52	12	基纽\n……呱呱。
1588	gnu	22	00004E20	72	12	\n身体互换遭到阻挠的基纽，\n与悟空扔出的青蛙\n交换了身体。
1589	gnu	22	00004E20	74	12	贝吉塔\n哼。\n一想到你今后的生活，\n我都开始同情你了……
1590	gnu	22	00004E20	80	17	就这样，变成青蛙的基纽\n沉浸在悲伤中，\n蹦向了远方……
1591	gnu	23	00004E21	17	12	利库姆\n利库姆！
1592	gnu	23	00004E21	20	12	巴特\n巴特！
1593	gnu	23	00004E21	23	12	吉斯\n吉斯！
1594	gnu	23	00004E21	26	12	古尔多\n古尔多！
1595	gnu	23	00004E21	29	12	基纽\n基纽！
1596	gnu	23	00004E21	31	14	众人\n全员到齐！
1597	gnu	23	00004E21	42	12	众人\n基纽特战队！
1598	gnu	23	00004E21	73	12	基纽\n嗯……特别战斗姿势\n果然还是要五个人\n一起摆才行！
1599	gnu	23	00004E21	76	12	利库姆\n这个姿势才是最美的！
1600	gnu	23	00004E21	79	12	巴特\n其他家伙根本\n无法理解这种美！
1601	gnu	23	00004E21	82	12	吉斯\n能做到这一切，\n全都多亏了队长！
1602	gnu	23	00004E21	85	12	古尔多\n不愧是队长！
1603	gnu	23	00004E21	90	12	基纽\n是吗，是吗。
1604	gnu	23	00004E21	93	12	基纽\n……哦，是弗利萨大王的命令。\n全员出动！
1605	gnu	23	00004E21	95	12	众人\n噢！
1606	gnu	23	00004E21	100	17	所有伙伴都复活了。\n特战队的战斗还将继续。\n加油吧，基纽特战队！
1607	gnu	23	00004E21	107	12	\n获得团队必杀技\n“爆裂阵形”！
1608	gnu	23	00004E21	108	12	\n让弗利萨与基纽组队，\n在气力达到200的状态下，\n触碰团队必杀技按钮！
1609	gnu	23	00004E21	117	12	\n获得究极技\n“特战队风暴”！
1610	gnu	23	00004E21	118	12	\n基纽体力变红时，\n将气力提升至150以上，\n靠近对手按X键＋A键！
1611	goh	0	00002710	7	17	成为完全体的沙鲁，\n宣布举办沙鲁游戏。
1612	goh	0	00002710	8	17	为了修行，悟饭与悟空一同\n进入了精神与时间之屋。
1613	goh	0	00002710	14	12	悟空\n首先得让悟饭变成超级赛亚人。\n我要让你超越我。
1614	goh	0	00002710	17	12	悟饭\n变成超级赛亚人……我吗？\n而且，我、我还要变得\n比爸爸更强……！？
1615	goh	0	00002710	20	12	悟空\n真正的修行从那之后才开始。\n来，以愤怒为契机，\n试着变成超级赛亚人！
1616	goh	0	00002710	25	14	悟饭\n呜啊啊啊啊！
1617	goh	0	00002710	38	12	\n获得特殊能力\n“超级赛亚人”！
1618	goh	0	00002710	39	12	\n使用悟饭（常态）时，\n气力达到100以上时，\n按L键！
1619	goh	1	00002AF8	9	12	悟饭\n这股力量是什么……！？\n我竟然赢了爸爸！？
1620	goh	1	00002AF8	12	12	悟空\n超级赛亚人配上比克的招式吗！\n……果然和我想的一样。\n你会变得比我更强！
1621	goh	1	00002AF8	13	12	悟空\n把今天学会的招式\n也用在沙鲁身上吧！
1622	goh	1	00002AF8	30	12	\n获得究极技\n“魔激闪光弹”！
1623	goh	1	00002AF8	31	12	\n悟饭（常态）体力变红时，\n将气力提升至150以上，\n面向侧方同时按下X键＋A键！
1624	goh	2	00002711	11	17	沙鲁游戏开始后，\n悟空第一个与沙鲁交战。
1625	goh	2	00002711	12	17	然而，悟空向沙鲁认输，\n并选择悟饭作为接替他的战士。
1626	goh	2	00002711	18	12	沙鲁\n只要孙悟饭愤怒，\n真正的力量就会觉醒吧。
1627	goh	2	00002711	19	12	沙鲁\n那么……去吧，小沙鲁！
1628	goh	2	00002711	22	12	小沙鲁\n叽——！
1629	goh	2	00002711	33	12	\n小沙鲁实力强劲，\n就连悟空和贝吉塔也陷入苦战。\n目睹这一幕的悟饭……！？
1630	goh	2	00002711	35	12	悟饭\n大、大家……
1631	goh	2	00002711	40	14	悟饭\n呜哦啊啊啊啊啊——！
1632	goh	2	00002711	61	12	沙鲁\n终于显露真正的姿态了吗。\n这下有意思了！\n我也让你见识真正的力量。
1633	goh	2	00002711	67	12	悟饭\n……那又怎样！
1634	goh	2	00002711	84	12	\n获得究极技\n“狂怒连击”！
1635	goh	2	00002711	85	12	\n悟饭（超2）体力变红且\n气力达到150以上时，\n靠近对手同时按下X键＋A键！
1636	goh	3	00002AF9	15	17	败给悟空与悟饭的沙鲁，\n企图自爆并让地球一同毁灭。
1637	goh	3	00002AF9	30	12	悟空\n……再见了，大家。\n我要带这家伙瞬间移动离开。\n悟饭，替我向妈妈问好。
1638	goh	3	00002AF9	43	12	贝吉塔\n……这股气是！？
1639	goh	3	00002AF9	58	12	沙鲁\n多亏核心幸存下来，\n我才能够再生……
1640	goh	3	00002AF9	61	12	沙鲁\n我绝不会放过你们！\n和地球一起消失吧！
1641	goh	3	00002AF9	85	12	悟空\n听得到吗，悟饭……\n我正在从另一个世界和你说话。\n你也用尽全力轰过去！
1642	goh	3	00002AF9	94	12	悟饭\n是、是！
1643	goh	3	00002AF9	95	12	悟饭\n龟……派……气……功……\n波啊啊——！！！
1644	goh	3	00002AF9	103	12	悟空\n还没结束，悟饭！\n你的力量应该远不止如此！
1645	goh	3	00002AF9	113	14	悟饭\n哈啊啊啊啊啊啊啊！
1646	goh	3	00002AF9	131	14	沙鲁\n咿呀啊啊……！\n怎……怎么可能！！！
1647	goh	3	00002AF9	146	12	\n悟饭打倒了沙鲁。
1648	goh	3	00002AF9	147	12	\n然而，悟空已经曾被龙珠\n复活过一次，\n无法再回到人世。
1649	goh	3	00002AF9	148	12	\n但悟饭跨越了悟空之死，\n发誓要坚强地活下去。
1650	goh	3	00002AF9	157	12	\n新增角色\n“悟饭（超2）”！\n可在角色选择中使用！
1651	goh	3	00002AF9	166	12	\n获得团队必杀技\n“父子龟派气功”！
1652	goh	3	00002AF9	167	12	\n让悟空（常态）与悟饭（超2）组队，\n在气力达到200的状态下，\n触碰团队必杀技按钮！
1653	goh	4	00002712	9	17	地球从沙鲁的魔爪中获救。\n数年后，\n悟饭已成为16岁的高中生。
1654	goh	4	00002712	15	12	悟饭\n今天开始上学！\n不快点就要迟到了！
1655	goh	4	00002712	23	12	古拉\n这里就是地球吗……真无聊。\n打倒我弟弟弗利萨的赛亚人，\n真的在这种地方吗。
1656	goh	4	00002712	26	12	比迪丽\n外……外星人！？\n虽然不知道是不是坏人……\n总之得先和他谈谈。
1657	goh	4	00002712	27	12	比迪丽\n我是撒旦先生的女儿，\n比迪丽！
1658	goh	4	00002712	30	12	古拉\n我对地球人没兴趣！
1659	goh	4	00002712	41	14	比迪丽\n呀啊！
1660	goh	4	00002712	46	12	悟饭\n……那是弗利萨！？\n感觉又有点不一样……\n不管怎样，那个女孩有危险！
1661	goh	5	00002AFA	11	12	比迪丽\n你是同班的孙悟饭……？\n原来你就是“金色战士”！？
1662	goh	5	00002AFA	14	12	悟饭\n（金色战士……？\n我变成超级赛亚人帮助别人，\n已经传成了传闻吗……）
1663	goh	5	00002AFA	17	12	比迪丽\n喂……一个月后\n要举办天下第一武道会。\n我们来比比谁更强吧！
1664	goh	5	00002AFA	20	12	悟饭\n咦！那种事……！？
1665	goh	5	00002AFA	23	12	比迪丽\n你不参加，我就把你的身份告诉大家！
1666	goh	5	00002AFA	40	12	悟空\n这不是挺好吗，悟饭。\n我也会复活一天，\n去参加比赛！
1667	goh	5	00002AFA	48	12	悟饭\n爸爸！？\n你又在从另一个世界和我说话吗！？
1668	goh	5	00002AFA	51	12	比迪丽\n悟饭？\n你在和谁说话？
1669	goh	5	00002AFA	54	12	悟饭\n爸爸要回来了……！
1670	goh	5	00002AFA	71	12	\n新增角色\n“悟饭（青年）”！\n可在角色选择中使用！
1671	goh	6	00002713	9	17	悟饭参加了武道会。\n然而，在武道会进行期间，\n发生了可怕的事件。
1672	goh	6	00002713	10	17	企图复活魔人布欧的\n魔导师巴比迪闯入了会场。
1673	goh	6	00002713	16	12	悟饭\n你们是什么人！！
1674	goh	6	00002713	27	12	巴比迪\n嘻嘻嘻嘻……\n这家伙的能量归我了！\n这下就能复活魔人布欧！
1675	goh	6	00002713	30	12	界王神\n悟饭，我现在就恢复你的体力！\n请和我一起\n追上他们！
1676	goh	6	00002713	38	12	悟饭\n巴比迪……\n我一定会亲手阻止\n魔人布欧复活……
1677	goh	6	00002713	41	12	巴比迪\n已经太晚喽——\n出来吧——！\n魔人布欧——！
1678	goh	6	00002713	65	12	魔人布欧\n布欧——！
1679	goh	7	00002AFB	13	12	悟饭\n成功了！打倒魔人布欧了！
1680	goh	7	00002AFB	20	12	巴比迪\n可恶……！\n但我不会白白被打倒！
1681	goh	7	00002AFB	21	12	巴比迪\n巴巴拉巴——！
1682	goh	7	00002AFB	37	12	比克\n危险，悟饭！
1683	goh	7	00002AFB	43	12	悟饭\n比克叔叔！\n糟了……！\n他为了保护我，被光线……！
1684	goh	8	00002EE3	2	12	悟空\n悟饭！\n要上了……用龟派气功！\n波啊啊啊啊啊啊！
1685	goh	8	00002EE3	4	12	悟饭\n好的，爸爸！\n波啊啊啊啊啊啊！
1686	goh	8	00002EE3	13	12	贝吉塔\n等等！那是什么……！
1687	goh	8	00002EE3	16	12	巴比迪\n真可惜！\n是你们的攻击\n唤醒了邪恶的魔人布欧！
1688	goh	8	00002EE3	29	12	魔人布欧\n呼啊啊……
1689	goh	8	00002EE3	34	14	魔人布欧\n嘎啊啊啊——！
1690	goh	8	00002EE3	39	12	悟饭\n这……这是何等强大的力量！\n要被……\n呜哇啊啊——！
1691	goh	8	00002EE3	51	12	\n获得团队必杀技\n“超绝龟派气功”！
1692	goh	8	00002EE3	52	12	\n让超级赛亚人悟空与悟饭（青年）组队，\n在气力达到200的状态下，\n触碰团队必杀技按钮！
1693	goh	9	00002714	10	17	悟饭被魔人布欧打倒。\n但界王神救下悟饭，\n将他带到了界王神界。
1694	goh	9	00002714	16	12	界王神\n悟饭，听说只要拔出那把Z神剑，\n就能获得宇宙第一的力量。\n请用那股力量打倒魔人布欧。
1695	goh	9	00002714	20	12	悟饭\n宇宙第一！？我明白了！\n只要把山上的剑拔出来就行吧！
1696	goh	9	00002714	25	14	悟饭\n咕哦哦哦哦哦……！\n呜叽叽咕……！
1697	goh	9	00002714	36	14	悟饭\n喝啊啊啊啊！
1698	goh	9	00002714	52	12	悟饭\n哈啊……哈啊……\n呼——！总算拔出来了！\n这样我就是宇宙最强……了吗？
1699	goh	9	00002714	55	12	？？？？\n光这样可不行哦～
1700	goh	9	00002714	56	12	老界王神\n老夫是十五代以前的\n界王神。\n一直被封印在那把剑里。
1701	goh	9	00002714	57	12	老界王神\n只要用老夫的超能力，\n就能让你一口气变强，\n甚至超越自身极限。
1702	goh	9	00002714	60	12	悟饭\n真的吗……
1703	goh	9	00002714	63	12	老界王神\n你不相信吧！\n别管那些细节，\n先和那边的人打一场！
1704	goh	9	00002714	66	12	悟空\n哟，悟饭。\n界王让我过来的。
1705	goh	9	00002714	69	12	悟饭\n爸爸！？\n和爸爸战斗就能变强吗！？
1706	goh	9	00002714	73	12	老界王神\n没错，要拿出真本事哦～\n这样一来，你应该就能\n掌握真正的力量。
1707	goh	10	00002AFC	11	12	悟饭\n……好厉害！\n这样或许能战胜布欧！
1708	goh	10	00002AFC	14	12	悟空\n哇……你这家伙……\n真的把\n爸爸超过了啊。
1709	goh	10	00002AFC	31	12	\n获得特殊能力\n“真力解放”！
1710	goh	10	00002AFC	32	12	\n使用悟饭（青年）时，\n气力达到200时，\n按L键！
1711	goh	11	00002715	10	17	觉醒真正力量的悟饭，\n追随魔人布欧回到了地球。
1712	goh	11	00002715	11	17	地球上，比克与悟天克斯\n正在抵挡魔人布欧的攻击。
1713	goh	11	00002715	18	12	悟饭\n太好了，赶上了……
1714	goh	11	00002715	21	12	悟天\n哥哥！
1715	goh	11	00002715	24	12	特兰克斯\n悟饭哥哥！
1716	goh	11	00002715	27	12	比克\n那真的是悟饭吗……！？\n就连气的性质也与从前不同！
1717	goh	11	00002715	30	12	魔人布欧\n嘻嘻嘻……\n你该不会想和我打吧？
1718	goh	11	00002715	33	12	悟饭\n……不对。\n我是来杀你的。
1719	goh	11	00002715	34	12	悟饭\n……你赢不了。
1720	goh	12	00002AFD	12	12	魔人布欧\n唯独你不可原谅！\n绝对、绝对、\n绝——对要杀了你！
1721	goh	12	00002AFD	15	12	悟饭\n那是不可能的。\n你自己应该最清楚。
1722	goh	12	00002AFD	19	14	悟饭\n喝呀——！
1723	goh	13	00002716	12	17	悟饭与比迪丽为修行，\n来到了远离都市的冰原。
1724	goh	13	00002716	18	12	悟天\n哥～哥，这边这边！
1725	goh	13	00002716	21	12	比迪丽\n真是的……！\n明明说好只有我们两个人……！
1726	goh	13	00002716	24	12	悟饭\n对不起，比迪丽。\n他们擅自跟过来了。
1727	goh	13	00002716	29	12	特兰克斯\n嘴上说是修行，\n果然还是约会嘛～\n悟天！咱们这些电灯泡撤吧！
1728	goh	13	00002716	32	12	比迪丽\n才、才不是！\n接下来悟饭要教我\n怎么发射气弹！
1729	goh	13	00002716	35	12	悟饭\n啊哈哈……\n到底像谁啊，真是的……
1730	goh	13	00002716	43	12	悟天\n特兰克斯，等等我～！
1731	goh	13	00002716	46	12	特兰克斯\n喂，悟天！快看！\n那里有一座超帅的研究所。\n咦？你看那边……
1732	goh	13	00002716	58	12	布罗利\n呜呜呜……\n……卡……卡卡罗特！\n是卡卡罗特啊啊啊！
1733	goh	13	00002716	75	12	悟天\n哥～哥！救命——！\n你、你快看那个～！
1734	goh	13	00002716	79	12	布罗利\n呜哦哦哦——！\n咕哦哦哦——！
1735	goh	13	00002716	82	12	悟饭\n布、布……布罗利！？
1736	goh	14	00002AFE	13	12	布罗利\n咕哦哦哦——……！
1737	goh	14	00002AFE	16	12	悟饭\n最后一击！\n龟——派——气——功……\n波啊啊啊啊啊啊！
1738	goh	14	00002AFE	24	12	比迪丽\n刚才那个……到底是什么！？\n那个人也、也是悟饭的同伴？
1739	goh	14	00002AFE	27	12	悟饭\n算、算是吧……大概？
1740	goh	14	00002AFE	44	12	\n获得究极技\n“超级龟派气功”！
1741	goh	14	00002AFE	45	12	\n悟饭（青年）体力变红时，\n将气力提升至150以上，\n面向侧方同时按下X键＋A键！
1742	goh	15	00002717	13	12	特兰克斯\n悟饭哥哥！\n终于找到您了！
1743	goh	15	00002717	16	12	悟饭\n未来的特兰克斯……！？\n究竟发生什么事了？
1744	goh	15	00002717	19	12	特兰克斯\n我来借助您的力量。\n那之后，我在未来与沙鲁交战……\n却让他逃走了。
1745	goh	15	00002717	20	12	特兰克斯\n现在，沙鲁为了成为完全体\n正在四处肆虐。
1746	goh	15	00002717	21	12	特兰克斯\n请和我一起前往未来，\n打倒沙鲁！
1747	goh	15	00002717	24	12	悟饭\n什么！？\n去未来——！？
1748	goh	15	00002717	38	17	悟饭就这样启程前往未来。\n挡在他面前的，\n是人造人18号。
1749	goh	15	00002717	44	12	18号\n特兰克斯……好久不见，\n竟然带了个小鬼过来……\n终于承认自己连孩子都不如了吗？
1750	goh	15	00002717	47	12	特兰克斯\n人造人！？\n正好！
1751	goh	15	00002717	53	12	特兰克斯\n悟饭哥哥，上吧！
1752	goh	15	00002717	56	12	18号\n今天倒是挺勇敢嘛。\n难道学会了什么新的必杀技？
1753	goh	15	00002717	60	12	悟饭\n是18号啊～\n她现在可是好人……\n真不容易下手……
1754	goh	15	00002717	63	12	18号\n……这个小鬼，\n到底在说什么\n莫名其妙的话？
1755	goh	16	00002AFF	13	12	特兰克斯\n成功了，悟饭哥哥！\n接下来只剩17号和沙鲁。
1756	goh	16	00002AFF	16	12	沙鲁\n哇——哈哈哈哈！\n蠢货！
1757	goh	16	00002AFF	17	12	沙鲁\n谢谢你们\n替我打倒18号。
1758	goh	16	00002AFF	18	12	沙鲁\n换作从前的我，\n要吸收她还得费不少工夫！
1759	goh	16	00002AFF	21	12	悟饭\n沙、沙鲁！
1760	goh	16	00002AFF	24	12	沙鲁\n18号我就收下了。\n只剩17号……\n今天先告辞。
1761	goh	16	00002AFF	32	12	特兰克斯\n可恶……\n又没能阻止沙鲁！
1762	goh	16	00002AFF	35	12	悟饭\n一定会有办法的……\n我们一起想办法！
1763	goh	17	00002718	11	17	吸收18号的沙鲁\n轻易打倒17号，\n变成了完全体。
1764	goh	17	00002718	12	17	感受到那股庞大气息的\n悟饭与特兰克斯，\n赶往沙鲁所在之处。
1765	goh	17	00002718	18	12	特兰克斯\n沙鲁……\n又……又变成完全体了……！
1766	goh	17	00002718	21	12	沙鲁\n呵呵呵……真可惜。\n这就是完全体的力量吗……太美妙了。
1767	goh	17	00002718	35	14	悟饭\n哈啊啊啊啊！
1768	goh	17	00002718	52	12	悟饭\n特兰克斯……\n一起打倒沙鲁吧！\n我再也不想经历那种痛苦了……！
1769	goh	17	00002718	55	12	沙鲁\n想打倒我吗！\n胆敢反抗我，就算是孩子，\n也不会只是吃点苦头那么简单……
1770	goh	17	00002718	72	12	\n获得特殊能力\n“暴怒”！
1771	goh	17	00002718	74	12	\n使用悟饭（超2）时，\n当其他队员全部被击败后\n便会发动！
1772	goh	18	00002B00	12	12	特兰克斯\n成功了！\n打倒沙鲁了！
1773	goh	18	00002B00	15	12	悟饭\n还没有！\n他的核心会像那时一样再生！
1774	goh	18	00002B00	26	12	沙鲁\n呜哦哦哦哦哦哦……
1775	goh	18	00002B00	29	12	悟饭\n给他最后一击！\n特兰克斯！
1776	goh	18	00002B00	33	12	特兰克斯\n好的，悟饭哥哥！
1777	goh	18	00002B00	39	14	悟饭\n哈啊啊啊啊啊！
1778	goh	18	00002B00	55	14	特兰克斯\n呜哦哦哦哦哦哦！
1779	goh	18	00002B00	73	14	沙鲁\n咕啊啊啊啊——！！！
1780	goh	19	00002719	11	17	打倒沙鲁的悟饭与特兰克斯，\n按照布尔玛提供的线索，\n寻找格罗博士的研究所。
1781	goh	19	00002719	12	17	只要研究所的电脑还在，\n就可能再次制造出\n沙鲁或人造人。
1782	goh	19	00002719	18	12	悟饭\n这就是格罗博士的研究所……\n只要这里还存在，\n就会诞生新的沙鲁……
1783	goh	19	00002719	21	12	格罗博士\n呵呵呵……正是如此。\n这里也将成为你们的坟墓。
1784	goh	19	00002719	26	12	特兰克斯\n格罗博士！\n你还活着！？
1785	goh	19	00002719	32	12	格罗博士\n我是这座研究所的电脑。\n其中保存着\n格罗博士的记忆。
1786	goh	19	00002719	35	12	格罗博士\n我要利用你们赛亚人的数据，\n为自己制造新的肉体。
1787	goh	19	00002719	39	12	悟饭\n你说什么……！？\n绝不会让你得逞！
1788	goh	19	00002719	51	12	格罗博士\n没用的……你们赢不了。\n更赢不了我的格罗博士军团！
1789	goh	20	00002B01	12	12	特兰克斯\n悟饭哥哥！\n把剩下的格罗博士\n和电脑也一起摧毁！
1790	goh	20	00002B01	15	12	悟饭\n好！\n龟——派——气——功……波啊啊啊！
1791	goh	21	0000271A	11	17	比克为保护悟饭，\n被巴比迪的诡异光线\n击中了……
1792	goh	21	0000271A	20	12	比克\n呜嘎啊啊啊啊啊！
1793	goh	21	0000271A	23	12	悟饭\n比克叔叔！！！\n可恶，你对比克叔叔做了什么！
1794	goh	21	0000271A	28	12	巴比迪\n唔呵呵……\n被这道光线照到的人，\n内心的邪恶就会膨胀。
1795	goh	21	0000271A	29	12	巴比迪\n去吧……比克！\n把他们全都杀掉！
1796	goh	21	0000271A	41	12	比克\n……闭嘴。
1797	goh	21	0000271A	44	12	巴比迪\n！？
1798	goh	21	0000271A	47	12	比克\n谁会听从你这种家伙的命令。\n去死吧！
1799	goh	21	0000271A	56	12	巴比迪\n噫咿咿！？\n怎、怎么会……！\n我竟然会死！
1800	goh	21	0000271A	59	12	比克\n终于找回真正的自己了。\n布欧、达普拉！\n从今以后，我就是你们的主人！
1801	goh	21	0000271A	61	12	\n邪恶之心膨胀的比克，\n凭借更加强大的魔力，\n将布欧与达普拉收为部下。
1802	goh	21	0000271A	63	12	悟饭\n比克叔叔……！\n不过爸爸也在，一定会……
1803	goh	21	0000271A	66	12	悟空\n关于这个，我的时间到了。\n已经不能继续留在人间……
1804	goh	21	0000271A	67	12	悟空\n悟饭，还有孩子们……\n对不起……\n地球就交给你们保护了！
1805	goh	22	00002B02	13	12	悟饭\n比克叔叔！\n不能输给邪恶之心！\n请变回原来的比克叔叔……
1806	goh	22	00002B02	16	12	比克\n悟饭！别和我套近乎！\n今天暂且撤退，\n下次就是你们的末日！
1807	goh	22	00002B02	19	12	悟饭\n比克叔叔——！
1808	goh	23	0000271B	15	12	比克\n可恶的赛亚人！\n现在的我还赢不了他们。
1809	goh	23	0000271B	16	12	比克\n可是……\n布欧！化为我的力量吧！
1810	goh	23	0000271B	19	12	魔人布欧\n嘎啊啊啊～～～！！！
1811	goh	23	0000271B	29	12	\n比克吸收了\n布欧的力量。
1812	goh	23	0000271B	31	12	比克\n呵呵呵……多么惊人的力量！\n现在的我，就连孙悟空\n也不是对手！
1813	goh	23	0000271B	39	12	悟天\n快看，哥哥！\n比克叔叔上电视了！
1814	goh	23	0000271B	42	12	\n比克以大魔王的身份，\n宣布将统治世界。
1815	goh	23	0000271B	43	12	\n他还向全世界宣告，\n任何自认能打倒他的人\n都可以随时前来挑战。
1816	goh	23	0000271B	46	12	悟饭\n比克叔叔……！\n我必须过去！
1817	goh	23	0000271B	49	12	丹迪\n我也去！\n我也要和你一起救比克叔叔！
1818	goh	23	0000271B	59	12	比克\n你终于来了，悟饭。\n从这股气来看……是想和我战斗吗。
1819	goh	23	0000271B	60	12	比克\n这有多么鲁莽，\n去问问旁边那只虫子吧。
1820	goh	23	0000271B	63	12	贝吉塔\n呜……呜呜！\n快……快逃……悟饭！\n那家伙强得不正常……
1821	goh	23	0000271B	66	12	悟饭\n贝吉塔先生……\n比克叔叔，请找回\n真正的自己！
1822	goh	23	0000271B	69	12	比克\n呵呵呵呵……\n还是那么天真。\n教了你那么多，依旧没改吗！
1823	goh	23	0000271B	95	12	贝吉塔\n你们……沙鲁和弗利萨！\n比克这混蛋！连这种力量也……！
1824	goh	23	0000271B	98	12	比克\n我把他们从另一个世界召来了。\n怎么样……？\n是不是更加绝望了？
1825	goh	23	0000271B	102	12	悟饭\n那又怎样……！\n我一定会让比克叔叔恢复原状。\n贝吉塔先生、丹迪，请帮助我！
1826	goh	24	00002B03	13	12	比克\n不、不可能……\n我竟然会败！
1827	goh	25	00004E20	26	17	悟饭的力量消灭了魔人布欧。\n地球也借神龙之力恢复原状，\n世界重归和平。
1828	goh	25	00004E20	27	17	随后，岁月继续流逝。
1829	goh	25	00004E20	34	12	比迪丽\n悟饭，你听说了吗！？\n又要举办天下第一武道会了！\n我们一起参加吧！
1830	goh	25	00004E20	37	12	悟饭\n等、等一下！\n马上就要考试了，\n怎么能去参加武道会……
1831	goh	25	00004E20	40	12	比迪丽\n参加武道会说不定会受伤……\n你居然一点都不担心。\n悟饭，你好冷淡！
1832	goh	25	00004E20	43	12	悟饭\n不、不是，\n我没有那个意思……
